Parameters,Average Fitness
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4023.4666666666667
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4050.0
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function roulette_selection at 0x00000249F3FD04C0>))",4046.133333333333
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4054.9333333333334
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4055.2
"(('crossover', <function partially_mapped_crossover at 0x00000249F3FD0700>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4093.8
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function inversion_mutation at 0x00000249F3FD0CA0>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4066.866666666667
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4079.266666666667
"(('crossover', <function order_crossover at 0x00000249F3FD0940>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function displacement_mutation at 0x00000249F3FD0D30>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4054.8
"(('crossover', <function cycle_crossover at 0x00000249F3FD09D0>), ('crossover_rate', 0.7), ('elitism_size', 2), ('evaluator', <function fitness_function at 0x00000249F3FD1120>), ('initializer', <function population at 0x00000249F3FD1480>), ('mutation', <function swap_mutation at 0x00000249F3FD0C10>), ('mutation_rate', 0.05), ('num_generations', 50), ('population_size', 50), ('selection', <function tournament_selection at 0x00000249F3FD0040>))",4025.733333333333
